City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
San Patricio,100,PY,1551934284,88,-26.98,-56.83,76.46,3.94
Krikellos,20,GR,1551934234,93,38.95,21.18,51.8,5.82
Mayo,5,CA,1551931200,77,63.59,-135.9,-0.41,2.24
Huarmey,80,PE,1551934288,86,-10.07,-78.15,67.96,2.59
Tokamachi,92,JP,1551933817,89,37.13,138.76,45.0,1.01
Tabou,32,CI,1551934291,96,4.42,-7.36,83.57,11.21
Kushiro,20,JP,1551931200,62,43.11,144.15,32.0,12.75
Sao Sebastiao,0,BR,1551934293,95,-3.15,-58.36,76.91,3.71
Cache Creek,90,CA,1551933720,100,50.81,-121.33,30.2,3.36
Wuchi,36,NG,1551934295,62,13.33,5.43,68.54,3.71
Nkawkaw,36,GH,1551934297,98,6.55,-0.77,73.04,3.04
Rome,0,IT,1551934024,41,41.89,12.48,60.8,14.99
Gornopravdinsk,80,RU,1551934300,83,60.06,69.92,36.14,11.88
Malanville,88,NE,1551934301,92,11.86,3.39,70.57,3.6
Avera,1,US,1551934290,55,33.19,-82.53,39.99,3.36
Salinas,90,US,1551934130,81,36.67,-121.66,55.0,12.75
Narsaq,75,GL,1551930600,34,60.91,-46.05,35.6,14.99
Kaiserslautern,40,DE,1551934149,76,49.44,7.77,55.0,18.34
Saskylakh,44,RU,1551934307,81,71.97,114.09,-5.31,13.0
Iracoubo,80,GF,1551934308,79,5.48,-53.21,77.23,6.4
Kerrville,90,US,1551934220,71,30.05,-99.14,50.0,6.93
Forestville,40,CA,1551931200,55,48.74,-69.09,8.6,19.46
Obregon,1,US,1551934263,35,32.86,-114.79,71.6,9.17
Jinchang,44,CN,1551934313,87,38.52,102.19,35.24,9.64
Grindavik,20,IS,1551933556,73,63.84,-22.43,26.6,18.34
Chuy,0,UY,1551934315,92,-33.69,-53.46,73.94,12.44
Villeneuve-sur-Lot,20,FR,1551933981,81,44.41,0.7,48.2,12.75
Gat,0,SN,1551933000,77,14.69,-16.54,62.6,23.04
Inhuma,92,BR,1551934319,99,-6.67,-41.71,70.3,4.61
Ituiutaba,8,BR,1551934320,92,-18.97,-49.46,66.92,2.93
Svetlaya,0,RU,1551934268,93,46.54,138.33,28.76,7.52
Sept-Iles,75,CA,1551933907,49,50.2,-66.38,3.0,10.29
West Plains,1,US,1551934323,70,36.73,-91.85,33.8,4.7
Yacuiba,80,AR,1551934325,96,-22.01,-63.68,73.72,4.05
Hithadhoo,20,MV,1551934326,100,-0.6,73.08,83.12,5.28
Pontianak,40,ID,1551931200,74,-0.02,109.34,84.2,4.7
Kalmunai,12,LK,1551934328,78,7.42,81.82,87.49,4.61
Romodanovo,0,RU,1551934330,82,54.42,45.33,11.44,7.85
Bonneville,75,FR,1551934272,93,46.08,6.41,48.2,11.41
Oranjemund,80,ZA,1551934305,94,-28.55,16.43,63.82,6.17
Kerema,48,PG,1551934333,88,-7.96,145.78,80.56,2.82
Beloha,24,MG,1551934334,69,-25.17,45.06,80.83,13.67
Vaitape,48,PF,1551934335,99,-16.52,-151.75,83.98,12.21
Camocim,48,BR,1551934337,97,-2.9,-40.84,72.14,4.72
Thinadhoo,92,MV,1551934338,100,0.53,72.93,81.73,5.17
Kedrovyy,40,RU,1551931200,73,56.17,91.82,23.0,8.95
Mineiros,32,BR,1551934221,93,-17.57,-52.55,67.87,4.83
Bartica,20,GY,1551931200,94,6.41,-58.62,75.2,4.7
Podlesnoye,0,RU,1551934343,80,54.32,47.61,13.42,9.86
Chicama,90,PE,1551931200,88,-7.84,-79.15,73.4,4.7
Pachino,0,IT,1551933321,49,36.72,15.09,50.0,17.0
Biskamzha,0,RU,1551934347,67,53.45,89.53,23.99,2.93
Alta Gracia,0,AR,1551933968,94,-31.66,-64.43,75.99,6.93
Raudeberg,0,NO,1551934203,60,61.99,5.14,41.0,8.05
Ribas do Rio Pardo,20,BR,1551934350,83,-20.45,-53.76,73.0,6.62
Longyan,92,CN,1551933836,99,25.1,117.03,57.99,1.92
Churapcha,80,RU,1551934353,72,62.0,132.43,15.62,3.71
Boma,36,NG,1551934354,84,11.23,4.46,74.08,3.94
Kisangani,88,CD,1551934355,100,0.52,25.21,70.79,3.04
Yeniseysk,64,RU,1551934356,74,58.45,92.17,23.59,5.39
Calvinia,48,ZA,1551934358,89,-31.47,19.78,55.27,4.05
Lagoa,0,PT,1551934329,93,37.14,-8.45,51.01,6.93
Jiangyou,92,CN,1551934361,100,31.78,104.73,43.93,5.39
Ahipara,92,NZ,1551934362,79,-35.17,173.16,71.02,10.54
Taltal,20,CL,1551934363,100,-25.41,-70.49,53.87,0.81
Santiago,0,CL,1551934292,34,-33.44,-70.65,70.0,9.17
Artyom,0,RU,1551931200,20,43.36,132.19,41.0,17.9
Sosnovo-Ozerskoye,56,RU,1551934367,72,52.53,111.54,36.32,5.17
Flinders,0,AU,1551934326,32,-34.58,150.85,72.0,9.17
Touros,40,BR,1551931200,94,-5.2,-35.46,77.0,3.36
Srednekolymsk,20,RU,1551934371,62,67.46,153.71,0.41,2.48
Baculin,24,PH,1551934373,92,7.45,126.58,78.44,8.86
Ridgecrest,90,US,1551934188,71,35.62,-117.67,54.0,18.34
Houma,36,CN,1551934375,44,35.63,111.36,47.08,5.61
Beringovskiy,88,RU,1551934377,92,63.05,179.32,24.58,19.48
Burnie,76,AU,1551934288,60,-41.05,145.91,63.0,10.0
Zabol,40,IR,1551931200,62,31.03,61.49,51.8,9.17
Biltine,8,TD,1551934380,40,14.53,20.93,71.24,7.96
Mahajanga,40,MG,1551931200,94,-15.72,46.32,73.4,9.75
Tual,32,ID,1551934383,100,-5.67,132.75,83.71,3.38
Lianzhou,100,CN,1551934384,99,24.79,112.38,49.91,2.71
Harstad,68,NO,1551933995,92,68.8,16.53,24.01,6.93
Severomuysk,88,RU,1551934386,88,56.17,113.57,20.89,2.59
Kendari,88,ID,1551934387,73,-3.99,122.52,83.8,6.17
Chiguayante,90,CL,1551931200,100,-36.93,-73.02,59.0,6.93
Zhigansk,76,RU,1551934390,70,66.77,123.37,23.54,7.4
Rivadavia,0,AR,1551934280,63,-31.53,-68.59,65.53,3.49
Saint-Georges,24,CA,1551934017,83,46.12,-70.67,5.0,6.51
Laela,12,TZ,1551934393,85,-8.57,32.05,66.88,3.27
Aripuana,44,BR,1551934394,91,-9.17,-60.63,76.42,2.59
Kupang,75,ID,1551931200,74,-10.16,123.6,87.8,4.7
Gafanha da Encarnacao,40,PT,1551934262,93,40.62,-8.73,51.8,4.7
Primorsk,88,RU,1551934382,88,60.37,28.62,21.0,11.01
Dwarahat,0,IN,1551934399,62,29.78,79.43,55.31,2.37
Sinnamary,92,GF,1551934335,100,5.38,-52.96,78.13,13.22
Mao,40,DO,1551934206,83,19.55,-71.08,75.99,4.7
Manacapuru,0,BR,1551931200,83,-3.3,-60.62,78.8,4.7
Sola,75,NO,1551934399,81,58.89,5.65,44.6,18.34
Turukhansk,88,RU,1551934405,84,65.8,87.96,12.43,24.18
Sao Joao da Barra,76,BR,1551934228,100,-21.64,-41.05,78.85,5.17
Fort Saint James,76,CA,1551934408,71,54.43,-124.25,12.34,1.92
Yerofey Pavlovich,0,RU,1551934409,41,53.97,121.97,35.24,3.49
Ochsenfurt,75,DE,1551934360,57,49.67,10.07,48.2,10.29
Bonavista,0,CA,1551933994,74,48.65,-53.11,21.0,11.99
Ossora,88,RU,1551934413,90,59.24,163.07,24.94,15.9
Tunceli,75,TR,1551930600,80,39.11,39.55,41.0,4.7
Camacha,40,PT,1551931200,76,33.08,-16.33,57.2,10.29
Mikun,12,RU,1551934416,75,62.35,50.08,11.08,13.78
Mandalgovi,0,MN,1551934417,90,45.76,106.27,38.35,7.74
Desbiens,0,CA,1551934181,50,48.42,-71.95,-1.0,3.0
Auki,0,NG,1551934420,38,12.18,6.51,67.19,7.18
Solntsevo,0,RU,1551934421,65,53.34,40.13,5.99,3.15
Harper,90,US,1551934220,62,30.3,-99.24,48.99,6.93
Mopti,0,ML,1551934424,75,14.49,-4.19,59.32,4.61
Westport,88,IE,1551934207,83,53.8,-9.52,45.0,8.01
Ostrovnoy,0,RU,1551934426,84,68.05,39.51,6.26,15.68
Gizo,40,IL,1551934335,87,31.8,34.94,51.8,5.82
Jiuquan,32,CN,1551934429,74,39.73,98.49,36.14,5.73
Nome,90,US,1551934220,61,30.04,-94.42,53.01,4.7
Rovaniemi,0,FI,1551932400,84,66.5,25.72,8.6,11.41
Retz,8,AT,1551934417,86,48.76,15.95,43.0,2.24
Vigrestad,75,NO,1551933978,81,58.57,5.7,44.6,18.34
Klaksvik,32,FO,1551932400,100,62.23,-6.59,32.0,4.7
Caravelas,88,BR,1551934435,99,-17.73,-39.27,84.47,8.75
Husavik,0,CA,1551934206,85,50.56,-96.99,-3.0,6.06
Rio Grande,12,BR,1551934276,94,-32.03,-52.1,75.11,8.97
Ejea de los Caballeros,75,ES,1551934433,65,42.13,-1.14,51.01,9.17
Chifeng,0,CN,1551934440,63,42.27,118.96,42.85,4.38
Guerrero Negro,0,MX,1551934173,95,27.97,-114.04,53.69,4.27
Esperance,20,TT,1551934210,88,10.24,-61.45,75.2,6.29
Paris,80,FR,1551934348,81,48.86,2.35,46.4,13.87
Kitimat,75,CA,1551931200,37,54.02,-128.69,33.8,11.41
Antofagasta,20,CL,1551931200,77,-23.65,-70.4,66.2,4.7
Vestmannaeyjar,92,IS,1551934281,100,63.44,-20.27,26.42,16.46
Keti Bandar,0,PK,1551934448,92,24.14,67.45,73.63,7.07
Severnoye,0,RU,1551934450,88,54.09,52.54,15.71,11.43
Namatanai,68,PG,1551934334,100,-3.66,152.44,81.55,2.37
Slave Lake,1,CA,1551931200,65,55.28,-114.77,8.6,14.99
Shenjiamen,64,CN,1551934453,91,29.96,122.3,49.01,18.81
Kaunas,0,LT,1551932400,74,54.9,23.9,35.6,13.87
Machinga,92,MW,1551934455,100,-15.18,35.3,69.49,3.94
Karaton,20,ID,1551934399,66,-6.34,106.1,84.2,5.82
Dingle,0,PH,1551934296,40,11.0,122.67,90.46,12.55
Vardo,1,US,1551934237,62,39.62,-77.74,23.0,4.94
Chernyshevskiy,24,RU,1551934460,64,63.01,112.47,17.96,9.19
Finnsnes,40,NO,1551932400,85,69.23,17.98,17.6,12.75
Pedro Carbo,75,EC,1551933996,83,-1.82,-80.24,80.6,6.93
Aswan,0,EG,1551934242,68,24.09,32.9,55.22,4.94
Wanning,0,AT,1551934380,83,48.64,13.53,43.0,2.24
Syasstroy,8,RU,1551934466,77,60.14,32.56,14.54,7.74
Oistins,20,BB,1551931200,78,13.07,-59.53,77.0,17.22
Cootamundra,0,AU,1551934022,28,-34.64,148.03,75.99,3.0
Marystown,64,CA,1551933630,100,47.17,-55.16,24.01,12.55
Mount Isa,0,AU,1551933000,19,-20.73,139.49,98.6,16.11
Meulaboh,44,ID,1551934289,95,4.14,96.13,86.86,4.83
Tianpeng,92,CN,1551934473,100,28.88,112.34,48.34,10.98
Porto Belo,75,BR,1551934432,94,-27.15,-48.54,75.2,2.24
Inyonga,32,TZ,1551934476,85,-6.72,32.06,68.36,3.71
Poum,8,MK,1551934329,80,41.28,20.71,25.52,1.7
Lucea,40,JM,1551933921,78,18.44,-78.17,80.6,10.29
Shimoda,75,JP,1551931200,87,34.7,138.93,59.0,10.29
Kars,20,TR,1551933000,86,40.61,43.1,26.6,3.71
Wharton,90,GB,1551934454,75,53.2,-2.51,46.4,13.87
Curup,12,ID,1551934483,100,-3.47,102.53,76.51,1.14
Evensk,64,RU,1551934485,97,61.92,159.24,21.34,12.21
Kyzyl-Suu,0,KG,1551934409,86,42.34,78.0,6.01,3.83
Lom Sak,8,TH,1551931200,45,16.78,101.24,87.8,6.93
Bushenyi,68,UG,1551934489,97,-0.54,30.19,66.43,1.7
Ola,56,RU,1551934490,100,59.58,151.3,16.16,7.18
Chacabuco,8,AR,1551934491,84,-34.64,-60.47,76.01,9.75
Faanui,24,PF,1551934267,98,-16.48,-151.75,84.52,13.89
Hirado,75,JP,1551934397,58,33.32,129.49,55.0,29.97
Onokhoy,56,RU,1551931200,58,51.92,108.05,28.4,4.47
Sai Buri,20,TH,1551931200,66,6.7,101.62,86.0,9.17
Rio Gallegos,0,AR,1551931200,100,-51.62,-69.22,39.2,16.11
Manono,80,CD,1551934307,91,-7.3,27.4,71.29,5.61
Energeticheskiy,90,KZ,1551933000,93,43.43,77.02,35.6,2.24
Jalu,0,LY,1551934493,76,29.03,21.55,47.8,2.82
High Level,5,CA,1551931200,84,58.52,-117.13,3.2,4.16
Flin Flon,0,CA,1551934503,79,54.77,-101.88,3.7,5.73
Taywarah,24,AF,1551934505,63,33.35,64.42,35.56,2.59
Sharlyk,64,RU,1551934506,99,52.93,54.74,25.97,15.01
Svetlogorsk,75,RU,1551931200,89,53.14,59.15,32.0,15.66
Lodwar,64,KE,1551934362,54,3.12,35.6,79.57,5.39
Bongor,0,TD,1551934509,53,10.28,15.37,70.52,2.71
Sao Felix do Xingu,36,BR,1551934243,99,-6.64,-51.99,70.48,2.15
Yabelo,68,ET,1551934512,35,4.89,38.09,77.23,3.6
Zeven,75,DE,1551934505,81,53.3,9.28,52.0,10.29
Kostomuksha,0,RU,1551934514,78,64.59,30.6,15.22,10.09
Saint-Leu,0,RE,1551934247,55,-21.15,55.28,86.0,1.12
Kiunga,76,PG,1551934516,87,-6.12,141.3,85.91,2.59
Lusambo,24,CD,1551934518,95,-4.97,23.44,71.56,2.93
Kampot,0,KH,1551933000,58,10.62,104.18,89.6,11.41
Jefferson City,40,US,1551934517,63,38.58,-92.17,32.0,5.06
Karasburg,0,NA,1551934521,70,-28.01,18.75,59.68,7.4
Mikhaylovka,88,RU,1551934522,81,52.96,103.29,30.34,13.67
Juneau,1,US,1551930960,73,58.3,-134.42,26.6,4.16
Antalaha,44,MG,1551934239,100,-14.9,50.28,77.81,3.38
Veraval,75,FR,1551934521,93,49.65,0.71,46.4,12.75
Ranong,20,TH,1551931200,55,9.96,98.62,89.6,5.82
Joura,0,IN,1551934528,39,26.34,77.81,78.13,4.72
Bambanglipuro,88,ID,1551934278,88,-7.95,110.28,81.73,4.16
Luderitz,0,NA,1551934496,93,-26.65,15.16,59.09,11.99
Zempoala,0,MX,1551934532,88,20.09,-98.0,41.14,1.03
Hovd,75,NO,1551934519,73,63.83,10.7,25.0,11.41
Povenets,0,RU,1551934404,71,62.85,34.83,15.94,12.21
Kot Addu,40,PK,1551933000,48,30.47,70.97,64.4,9.17
Hofn,92,IS,1551934537,100,64.25,-15.21,34.34,24.52
Sovetskiy,0,RU,1551934538,85,56.76,48.47,12.07,14.45
Kholodnyy,0,RU,1551934539,67,62.72,147.95,-0.49,3.15
Pamplona,20,ES,1551934206,86,42.82,-1.64,52.0,4.7
Namibe,44,AO,1551934541,100,-15.19,12.15,77.23,7.18
Saposoa,56,PE,1551934543,98,-6.93,-76.77,72.86,1.92
West Bay,40,GB,1551934529,81,50.71,-2.76,45.0,11.41
Ponyri,0,RU,1551933000,72,52.32,36.3,15.8,4.47
Sorong,64,ID,1551934546,100,-0.86,131.25,81.73,4.16
Chanute,1,US,1551934493,77,37.68,-95.46,35.6,9.17
Balakhninskiy,80,RU,1551934549,69,58.01,114.28,23.32,4.38
Bulgan,24,MN,1551934550,21,48.81,103.53,48.7,6.73
Riberalta,24,BO,1551934551,96,-11.0,-66.08,75.61,2.04
Ucluelet,56,CA,1551934188,85,48.94,-125.55,35.01,1.59
Port Hardy,40,CA,1551931200,59,50.7,-127.42,33.8,5.82
Muros,75,ES,1551934530,93,42.77,-9.06,52.0,6.93
Lima,0,PE,1551934504,88,-12.06,-77.04,73.99,4.7
Teeli,64,RU,1551934557,74,51.01,90.2,23.27,2.15
Maragogi,100,BR,1551934558,100,-9.01,-35.22,75.11,1.7
Bridgetown,40,CA,1551933989,61,44.84,-65.29,16.0,13.87
Pionerskiy,44,RU,1551934561,70,61.2,62.86,34.3,13.22
Broome,80,GB,1551934286,87,52.47,1.45,45.0,17.22
Lata,0,IN,1551934346,73,30.78,78.62,46.94,2.04
Dicabisagan,0,PH,1551934564,90,17.08,122.42,79.61,5.61
Zarand,75,IR,1551933000,80,30.81,56.57,41.0,6.93
Guadalupe y Calvo,68,MX,1551934567,59,26.09,-106.96,48.07,1.7
Buta,88,CD,1551934568,97,2.79,24.73,71.74,2.93
Adelanto,90,US,1551934565,100,34.58,-117.41,59.0,4.7
Brewster,1,US,1551934494,44,41.76,-70.08,21.2,13.87
Manokwari,24,ID,1551934572,100,-0.87,134.08,81.19,5.17
Bay Roberts,90,CA,1551934107,85,47.58,-53.28,21.99,16.11
Nishihara,90,JP,1551934567,76,35.74,139.53,53.01,5.82
Kuala Terengganu,75,MY,1551931200,66,5.33,103.14,87.8,6.93
Coihaique,0,CL,1551931200,87,-45.58,-72.07,46.4,3.36
Agirish,88,RU,1551934578,78,61.92,63.02,33.85,12.21
The Pas,1,CA,1551931200,60,53.82,-101.24,6.8,9.17
Baruun-Urt,0,MN,1551934580,22,46.68,113.28,45.82,19.6
Niquelandia,36,BR,1551934581,92,-14.47,-48.46,70.75,2.71
Half Moon Bay,75,US,1551934564,93,37.46,-122.43,54.0,11.41
Cervo,48,BR,1551934584,95,-22.19,-46.24,61.75,3.94
Joshimath,0,IN,1551934585,86,30.57,79.57,12.92,0.58
Atocha,75,EC,1551933980,87,-1.22,-78.6,53.6,2.24
Rocha,0,UY,1551934588,84,-34.48,-54.34,73.9,10.2
Boa Vista,0,BR,1551931200,54,2.82,-60.67,84.2,13.87
Xining,64,CN,1551934591,50,36.62,101.77,36.01,2.93
Aloleng,12,PH,1551934593,79,16.13,119.78,86.54,4.83
Mae Ramat,0,TH,1551934336,45,16.98,98.52,95.0,2.24
Shakiso,0,ET,1551934595,31,5.77,38.9,73.67,3.27
Abong Mbang,64,CM,1551934596,92,3.98,13.18,69.89,3.15
Tokur,0,RU,1551934585,45,53.13,132.9,24.85,3.15
Kholm,8,RU,1551934310,82,57.15,31.18,17.51,15.01
Ogbomosho,36,NG,1551934600,96,8.13,4.25,74.57,8.52
Port Blair,20,IN,1551931200,66,11.67,92.75,86.0,4.7
Dharmadam,0,IN,1551934602,36,11.78,75.43,93.34,3.49
Palora,56,EC,1551934456,97,-1.7,-77.97,61.75,2.37
Ivdel,8,RU,1551934605,75,60.7,60.42,24.04,16.35
Rockport,90,US,1551934439,82,28.02,-97.05,57.99,3.71
Berghin,0,RO,1551931200,86,46.08,23.74,28.4,1.12
Mildura,8,AU,1551933904,20,-34.18,142.16,78.01,4.7
Belyy Yar,0,RU,1551931200,54,53.6,91.39,28.4,2.24
Suluq,0,LY,1551934610,80,31.67,20.25,38.17,3.04
Pimentel,88,BR,1551934612,97,-3.7,-45.5,71.06,2.37
Sao Filipe,0,CV,1551934613,96,14.9,-24.5,70.16,19.04
Menongue,64,AO,1551934614,93,-14.66,17.68,62.92,4.94
Guarda,80,PT,1551933944,93,40.54,-7.27,37.0,4.83
Rizoma,20,GR,1551934535,86,39.66,21.73,52.0,3.27
Madaoua,12,NE,1551934618,36,14.07,5.96,67.37,10.98
Livingstonia,44,MW,1551934619,97,-10.61,34.11,71.69,1.14
Palmer,90,US,1551934399,87,61.6,-149.11,33.01,2.26
Guiren,75,TW,1551934532,88,22.97,120.29,71.6,9.17
Imeni Poliny Osipenko,20,RU,1551934622,61,52.42,136.49,31.6,1.92
Sambava,8,MG,1551934586,100,-14.27,50.17,77.32,1.92
Igrim,92,RU,1551934625,87,63.19,64.42,33.44,5.73
Mantua,75,IT,1551934567,71,45.16,10.79,53.01,10.29
Meadow Lake,0,CA,1551934627,70,54.13,-108.44,-3.19,6.29
Kunya,8,NG,1551931200,28,12.22,8.53,71.6,4.7
Djambala,36,CG,1551934630,97,-2.55,14.76,68.77,8.63
Sorland,40,NO,1551932400,92,67.67,12.69,23.0,3.36
Praia da Vitoria,75,PT,1551933911,93,38.73,-27.07,61.0,21.61
